lat,lon,year,month,sst,mld,scew,scns,sal,chlor,pred
32.03,-80.59,2005.0,1.0,15.604,74.672,0.023,-0.013,35.262,0.537,0.8103333333333333
41.76,-70.42,2014.0,4.0,15.464,37.198,0.032,-0.004,35.321,0.813,0.7073030849869083
42.01,-70.22,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.06833333333333333
44.79,-66.54,2011.0,9.0,23.337,18.85,0.031,0.005,34.781,1.016,0.19461111111111112
32.93,-79.25,2006.0,2.0,14.728,76.855,0.031,-0.019,35.205,0.599,0.12157142857142857
47.91,-63.74,2017.0,7.0,22.885,12.354,0.038,0.005,34.919,1.028,0.5227142857142857
41.77,-70.3,2016.0,3.0,15.224,52.131,0.039,-0.0,35.288,0.774,0.43683333333333335
41.23,-69.08,2006.0,5.0,17.245,14.992,0.03,0.006,35.104,0.961,0.17299999999999996
41.72,-69.6,2015.0,5.0,17.151,20.622,0.04,0.016,35.205,1.104,0.24054761904761907
41.29,-68.84,2014.0,5.0,16.934,21.703,0.039,0.005,35.346,1.023,0.5720714285714285
41.22,-68.78,2004.0,5.0,16.709,17.561,0.038,0.001,35.21,1.093,0.44266666666666665
41.74,-69.73,2011.0,5.0,17.197,15.031,0.031,0.013,35.128,0.956,0.2686428571428571
30.22,-81.32,2005.0,3.0,14.415,94.265,0.024,-0.002,35.237,0.557,0.4875238095238097
42.03,-70.21,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.518547619047619
42.08,-70.42,2013.0,4.0,15.155,44.587,0.023,0.011,35.257,1.059,0.42800000000000005
45.0,-66.68,2006.0,11.0,19.063,43.313,0.026,0.003,35.036,0.867,0.12249999999999998
30.6,-81.17,2014.0,3.0,15.041,58.317,0.035,0.001,35.33,0.586,0.3708214285714286
42.24,-70.07,2011.0,8.0,23.743,13.88,0.038,0.009,34.78,0.864,0.19666666666666668
30.43,-81.25,2012.0,12.0,17.295,63.837,0.032,-0.002,35.11,0.687,0.15625
44.7,-66.42,2007.0,8.0,23.62,13.838,0.031,0.007,34.86,0.824,0.7157857142857144
42.01,-70.13,2012.0,12.0,17.295,63.837,0.032,-0.002,35.11,0.687,0.8140000000000001
42.08,-68.88,2007.0,6.0,19.21,12.883,0.038,0.005,35.088,0.827,0.4996255133755133
41.74,-70.38,2012.0,2.0,15.085,67.98,0.034,-0.007,35.184,0.588,0.7933333333333333
30.58,-81.27,2005.0,3.0,14.415,94.265,0.024,-0.002,35.237,0.557,0.8081666666666669
43.05,-70.26,2006.0,11.0,19.063,43.313,0.026,0.003,35.036,0.867,0.4730833333333333
41.91,-70.19,2011.0,1.0,15.106,79.538,0.034,0.0,35.138,0.661,0.14316666666666664
31.09,-81.29,2016.0,1.0,16.139,73.567,0.037,-0.009,35.289,0.618,0.19316666666666665
44.87,-66.75,2006.0,10.0,21.295,30.514,0.027,0.004,34.909,0.886,0.15049999999999997
42.05,-70.37,2016.0,3.0,15.224,52.131,0.039,-0.0,35.288,0.774,0.7273333333333335
41.97,-70.56,2013.0,4.0,15.155,44.587,0.023,0.011,35.257,1.059,0.2303333333333334
41.45,-68.7,2003.0,5.0,16.968,16.18,0.04,0.007,35.245,1.17,0.924
30.68,-81.24,2007.0,3.0,14.319,72.868,0.022,-0.001,35.261,0.692,0.09519047619047617
43.55,-68.2,2011.0,11.0,18.898,46.992,0.026,0.012,34.992,1.115,0.42765284715284724
41.94,-70.22,2016.0,3.0,15.224,52.131,0.039,-0.0,35.288,0.774,0.8955
41.87,-70.28,2015.0,2.0,15.272,77.648,0.038,0.006,35.352,0.488,0.18916666666666665
41.97,-70.23,2012.0,3.0,15.02,59.397,0.029,-0.009,35.169,0.842,0.4518037518037519
42.0,-70.32,2014.0,4.0,15.464,37.198,0.032,-0.004,35.321,0.813,0.6776666666666668
42.1,-70.22,2011.0,4.0,14.972,42.327,0.032,0.009,35.198,0.988,0.8737142857142857
29.7,-81.22,2007.0,1.0,15.679,77.408,0.04,-0.023,35.122,0.694,0.8513095238095238
30.72,-81.21,2006.0,1.0,15.677,68.316,0.031,-0.014,35.152,0.729,0.12666666666666668
42.4,-70.61,2007.0,12.0,16.818,58.491,0.029,0.007,35.363,0.572,0.155
30.42,-81.21,2006.0,2.0,14.728,76.855,0.031,-0.019,35.205,0.599,0.30604761904761907
42.09,-70.29,2011.0,5.0,17.197,15.031,0.031,0.013,35.128,0.956,0.9858333333333333
41.74,-70.38,2013.0,1.0,15.634,78.116,0.034,-0.011,35.194,0.607,0.6288095238095237
41.74,-69.81,2012.0,4.0,15.711,28.545,0.034,0.006,35.183,1.004,0.5465
41.75,-69.65,2009.0,3.0,14.44,71.726,0.024,0.0,35.193,0.735,0.39033333333333325
41.25,-70.16,2014.0,12.0,17.791,59.607,0.026,0.001,35.153,0.636,0.5739534632034632
31.17,-80.75,2009.0,3.0,14.44,71.726,0.024,0.0,35.193,0.735,0.23415476190476195
42.95,-70.02,2006.0,11.0,19.063,43.313,0.026,0.003,35.036,0.867,0.6317827450327451
42.04,-70.52,2011.0,5.0,17.197,15.031,0.031,0.013,35.128,0.956,0.35480844155844155
41.96,-70.22,2017.0,3.0,14.791,83.635,0.027,0.001,35.424,0.556,0.5616999944499942
42.13,-70.13,2015.0,4.0,15.4,42.14,0.037,-0.002,35.3,0.676,0.5688567821067818
30.08,-81.23,2009.0,1.0,15.484,72.882,0.039,-0.009,35.229,0.53,0.8818095238095238
41.84,-70.22,2018.0,1.0,15.837,76.273,0.033,0.004,35.47,0.597,0.35033333333333333
41.89,-70.36,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.5087142857142856
42.03,-70.16,2013.0,4.0,15.155,44.587,0.023,0.011,35.257,1.059,0.4858571428571429
41.97,-70.18,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.7663333333333331
43.35,-68.53,2012.0,1.0,15.816,66.019,0.028,0.004,35.153,0.687,0.26355555555555554
41.33,-69.29,2005.0,7.0,22.654,11.31,0.034,0.006,34.797,0.78,0.4061190476190476
31.33,-81.05,2003.0,1.0,15.189,79.976,0.04,-0.012,35.348,0.519,0.675931457431457
42.1,-70.29,2006.0,4.0,15.12,33.071,0.029,0.01,35.219,1.372,0.9163333333333332
41.81,-70.33,2014.0,4.0,15.464,37.198,0.032,-0.004,35.321,0.813,0.7992056277056276
31.39,-80.74,2009.0,1.0,15.484,72.882,0.039,-0.009,35.229,0.53,0.9041666666666667
41.82,-70.35,2015.0,5.0,17.151,20.622,0.04,0.016,35.205,1.104,0.6625
41.76,-68.4,2003.0,6.0,19.41,13.452,0.038,0.006,35.29,1.037,0.9078333333333335
40.54,-71.14,2012.0,3.0,15.02,59.397,0.029,-0.009,35.169,0.842,0.2092857142857143
41.88,-70.22,2009.0,4.0,15.093,33.097,0.03,0.008,35.228,1.135,0.5090198412698416
41.69,-69.79,2011.0,2.0,14.459,86.947,0.028,-0.007,35.12,0.638,0.5188095238095237
42.93,-69.0,2009.0,10.0,20.946,32.108,0.028,0.005,35.022,0.957,0.40430952380952384
41.92,-70.25,2010.0,3.0,14.056,76.809,0.029,0.005,35.264,0.949,0.11385714285714284
41.99,-70.42,2014.0,4.0,15.464,37.198,0.032,-0.004,35.321,0.813,0.9072142857142858
41.25,-68.9,2004.0,6.0,19.152,13.58,0.037,0.008,35.088,0.846,0.152
31.12,-80.98,2005.0,3.0,14.415,94.265,0.024,-0.002,35.237,0.557,0.4713333333333333
30.81,-81.27,2009.0,1.0,15.484,72.882,0.039,-0.009,35.229,0.53,0.6534761904761904
47.61,-64.07,2017.0,7.0,22.885,12.354,0.038,0.005,34.919,1.028,0.086
31.26,-81.05,2014.0,1.0,15.705,68.326,0.044,-0.003,35.201,0.543,0.5848809523809523
